model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Composition shuffle,null,0,36,Composition shuffle,null,Intermediate,0.9029411764705882
Composition shuffle,null,0,36,Composition shuffle,null,Common,0.7481572481572482
Markov baseline,null,0,36,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,36,Markov baseline,null,Intermediate,0.8764705882352941
Markov baseline,null,0,36,Markov baseline,null,Common,0.8611793611793612
Composition shuffle,null,0,37,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,37,Composition shuffle,null,Intermediate,0.9117647058823529
Composition shuffle,null,0,37,Composition shuffle,null,Common,0.7364864864864865
Markov baseline,null,0,37,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,37,Markov baseline,null,Intermediate,0.85
Markov baseline,null,0,37,Markov baseline,null,Common,0.8605651105651105
Composition shuffle,null,0,38,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,38,Composition shuffle,null,Intermediate,0.8823529411764706
Composition shuffle,null,0,38,Composition shuffle,null,Common,0.7352579852579852
Markov baseline,null,0,38,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,38,Markov baseline,null,Intermediate,0.861764705882353
Markov baseline,null,0,38,Markov baseline,null,Common,0.8495085995085995
Composition shuffle,null,0,39,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,39,Composition shuffle,null,Intermediate,0.9029411764705882
Composition shuffle,null,0,39,Composition shuffle,null,Common,0.7598280098280098
Markov baseline,null,0,39,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,39,Markov baseline,null,Intermediate,0.8735294117647059
Markov baseline,null,0,39,Markov baseline,null,Common,0.8531941031941032
Composition shuffle,null,0,40,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,40,Composition shuffle,null,Intermediate,0.9205882352941176
Composition shuffle,null,0,40,Composition shuffle,null,Common,0.7733415233415234
Markov baseline,null,0,40,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,40,Markov baseline,null,Intermediate,0.8529411764705882
Markov baseline,null,0,40,Markov baseline,null,Common,0.8409090909090909
Composition shuffle,null,0,41,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,41,Composition shuffle,null,Intermediate,0.9117647058823529
Composition shuffle,null,0,41,Composition shuffle,null,Common,0.75
Markov baseline,null,0,41,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,41,Markov baseline,null,Intermediate,0.8735294117647059
Markov baseline,null,0,41,Markov baseline,null,Common,0.8482800982800983
Composition shuffle,null,0,42,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,42,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,42,Composition shuffle,null,Common,0.7235872235872236
Markov baseline,null,0,42,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,42,Markov baseline,null,Intermediate,0.8470588235294118
Markov baseline,null,0,42,Markov baseline,null,Common,0.8427518427518428
Composition shuffle,null,0,43,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,43,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,43,Composition shuffle,null,Common,0.742014742014742
Markov baseline,null,0,43,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,43,Markov baseline,null,Intermediate,0.8735294117647059
Markov baseline,null,0,43,Markov baseline,null,Common,0.8513513513513513
Composition shuffle,null,0,44,Composition shuffle,null,Rare,0.14285714285714285
Composition shuffle,null,0,44,Composition shuffle,null,Intermediate,0.888235294117647
Composition shuffle,null,0,44,Composition shuffle,null,Common,0.7463144963144963
